band_id;genre_name
178;Post-punk revival
179;Hard rock
179;Post-grunge
179;Alternative rock
180;Mathcore
181;Indie rock
181;Indietronica
182;Southern gospel music
183;Grunge
183;Alternative rock
185;Doom metal
187;Hip hop
189;West Coast hip hop
189;G-funk
191;New wave
191;Post-punk
192;Groove metal
192;Death metal
195;Hip hop
196;Hip hop
197;Indie pop
198;Hardcore punk
199;Nintendocore
199;Dance-punk
200;Psychedelic rock
200;Psychedelic folk
200;Krautrock
200;Progressive rock
202;Psychedelic rock
203;Post-rock
203;Post-punk
204;Rock music
205;Post-hardcore
205;Rock music
206;Progressive metal
206;Djent
206;Metalcore
207;Medieval metal
208;Blues
208;Soul
208;Rhythm and blues
208;Zydeco
208;Rock music
209;Indie rock
209;Indietronica
209;Pop music
209;Rock music
209;Power pop
210;Indie rock
210;Indietronica
210;Indie folk
210;Post-punk
211;Indie rock
211;Indietronica
211;Post-grunge
211;Alternative rock
212;Hip hop
213;Indie rock
213;Indietronica
213;Indie pop
213;Alternative rock
214;Indie rock
214;Indietronica
214;Dance-punk
215;Symphonic gothic metal
215;Power metal
215;Symphonic metal
215;Symphonic power metal
216;Indie rock
216;Indietronica
216;Dream pop
216;Indie pop
217;Alternative dance
217;Trip hop
217;Electronica
217;House music
218;Indie rock
218;Indietronica
218;Pop punk
218;Alternative rock
218;Emo pop
219;Death metal
219;Grindcore
219;Sludge metal
220;Rhythm and blues
220;New jack swing
221;Electro-industrial
222;Pop rock
222;Garage rock
222;Alternative rock
222;Power pop
223;Pop rock
223;Pop music
223;Soft rock
223;Contemporary R&B
225;Hard rock
225;Desert rock
225;Rockabilly
225;Garage rock
225;Alternative rock
225;Blues rock
226;Reggae
226;Dancehall
226;Reggae fusion
227;Progressive rock
228;Hard rock
229;Hard rock
229;Jazz rock
229;Jazz fusion
229;Heavy metal
229;Progressive rock
230;Latin pop
230;Pop rock
231;New jack swing
231;Hip hop
233;Hard rock
233;Pop rock
233;Post-grunge
233;Alternative rock
234;Reggae
234;Ska punk
235;Blues
235;Indie rock
235;Indietronica
235;Dub
235;Trip hop
236;Hardcore punk
236;Post-hardcore
236;Garage punk
237;Indie rock
237;Indietronica
238;Pop rock
238;Alternative rock
239;Pop rock
239;Alternative rock
240;Post-rock
240;Electronica
240;Jazz rock
240;Jazz fusion
240;Progressive rock
240;Experimental rock
240;Minimal music
240;Instrumental rock
