1;1;current
6;2;current
6;3;current
13;4;current
13;5;current
16;6;current
16;7;current
21;8;current
21;9;current
26;10;current
27;11;current
27;12;current
29;13;current
29;14;current
29;15;current
29;16;current
29;17;current
30;18;current
33;19;current
33;20;current
33;21;current
33;22;current
33;23;current
33;24;current
33;25;current
33;26;current
33;27;current
33;28;current
33;29;current
33;30;current
33;31;current
33;32;current
33;33;current
44;34;current
44;35;current
44;36;current
46;37;current
47;38;current
48;39;current
48;40;current
48;41;current
51;42;current
52;43;current
55;44;current
61;45;current
64;46;current
67;47;current
67;48;current
72;49;current
77;50;current
77;51;current
78;52;current
79;53;current
79;54;current
80;55;current
82;56;current
85;57;current
86;58;current
86;59;current
86;60;current
89;61;current
89;62;current
91;63;current
91;64;current
91;65;current
91;66;current
93;67;current
93;68;current
93;69;current
95;70;current
97;71;current
97;72;current
98;73;current
103;74;current
111;75;current
111;76;current
112;77;current
112;78;current
116;79;current
123;80;current
123;81;current
126;82;current
127;83;current
136;84;current
138;85;current
138;86;current
138;87;current
139;88;current
144;89;current
144;90;current
145;91;current
150;92;current
152;93;current
154;94;current
158;95;current
160;96;current
160;97;current
164;98;current
164;99;current
164;100;current
164;101;current
166;102;current
168;103;current
168;104;current
171;105;current
171;106;current
171;107;current
171;108;current
172;109;current
173;110;current
177;111;current
177;112;current
177;113;current
177;114;current
177;115;current
188;80;current
194;116;current
195;117;current
195;118;current
196;119;current
204;120;current
205;121;current
205;122;current
212;123;current
212;124;current
213;125;current
213;126;current
213;127;current
222;128;current
222;129;current
223;130;current
223;131;current
223;132;current
225;133;current
225;134;current
227;135;current
227;136;current
227;137;current
229;138;current
232;139;current
233;140;current
234;141;current
235;142;current
239;143;current
240;144;current
240;145;current
240;146;current
241;147;current
241;148;current
241;149;current
241;150;current
241;151;current
243;152;current
243;153;current
246;154;current
247;155;current
247;156;current
248;157;current
248;158;current
248;159;current
250;160;current
254;161;current
258;162;current
260;163;current
260;164;current
260;165;current
260;166;current
261;167;current
265;168;current
265;169;current
265;170;current
265;171;current
268;172;current
272;173;current
272;174;current
272;175;current
272;176;current
273;177;current
273;178;current
274;179;current
274;180;current
274;181;current
274;182;current
274;183;current
275;184;current
275;185;current
278;186;current
278;187;current
278;188;current
281;189;current
281;190;current
282;191;current
282;192;current
282;193;current
283;194;current
283;195;current
283;196;current
284;197;current
285;198;current
287;199;current
287;200;current
290;201;current
290;202;current
292;203;current
299;204;current
302;205;current
303;206;current
304;207;current
305;208;current
307;209;current
312;210;current
312;211;current
312;212;current
314;213;current
315;214;current
318;215;current
323;216;current
324;217;current
325;218;current
327;219;current
327;220;current
327;221;current
329;222;current
329;223;current
330;224;current
330;225;current
330;226;current
330;227;current
330;228;current
331;229;current
333;230;current
333;231;current
336;232;current
336;233;current
337;234;current
337;235;current
339;236;current
339;237;current
339;238;current
339;239;current
339;240;current
340;241;current
340;242;current
340;243;current
343;244;current
343;245;current
343;246;current
350;247;current
351;248;current
354;249;current
355;250;current
357;251;current
357;252;current
360;253;current
360;254;current
360;255;current
360;256;current
360;257;current
362;258;current
365;259;current
365;260;current
365;261;current
368;262;current
368;263;current
372;264;current
374;265;current
374;266;current
379;267;current
379;268;current
379;269;current
388;270;current
388;271;current
388;272;current
390;273;current
390;274;current
391;275;current
391;276;current
391;277;current
392;278;current
392;279;current
392;280;current
394;281;current
396;282;current
397;283;current
401;284;current
403;285;current
403;286;current
403;287;current
408;288;current
408;289;current
408;290;current
409;291;current
409;292;current
414;293;current
414;294;current
428;295;current
431;296;current
431;297;current
434;298;current
434;299;current
437;300;current
437;301;current
437;302;current
437;303;current
438;304;current
438;305;current
442;306;current
442;307;current
444;308;current
444;309;current
444;310;current
445;311;current
447;312;current
447;313;current
451;314;current
451;315;current
451;316;current
452;317;current
452;318;current
452;319;current
453;320;current
456;321;current
458;322;current
460;323;current
460;324;current
460;325;current
460;326;current
460;327;current
463;328;current
463;329;current
466;330;current
466;331;current
466;332;current
467;333;current
467;334;current
467;335;current
468;336;current
468;337;current
468;338;current
468;339;current
469;340;current
469;341;current
469;342;current
469;343;current
469;344;current
469;345;current
470;346;current
471;347;current
471;348;current
473;349;current
475;350;current
477;351;current
477;352;current
477;353;current
477;354;current
478;355;current
478;356;current
479;357;current
479;358;current
480;359;current
480;360;current
480;361;current
481;362;current
481;363;current
481;364;current
481;365;current
481;366;current
482;367;current
482;368;current
482;369;current
482;370;current
482;371;current
