85;http://dbpedia.org/resource/Von_Südenfed;Von Südenfed
86;http://dbpedia.org/resource/Sambrasa_Trio;Sambrasa Trio
87;http://dbpedia.org/resource/Means_(band);Means (band)
88;http://dbpedia.org/resource/Evil_Cowards;Evil Cowards
89;http://dbpedia.org/resource/Sly_and_Robbie;Sly and Robbie
90;http://dbpedia.org/resource/Ernie_Haase_&_Signature_Sound;Ernie Haase & Signature Sound
91;http://dbpedia.org/resource/Moe_(band);Moe (band)
92;http://dbpedia.org/resource/Medication_(band);Medication (band)
93;http://dbpedia.org/resource/Babyshambles;Babyshambles
94;http://dbpedia.org/resource/Lion_(band);Lion (band)
95;http://dbpedia.org/resource/The_Teenage_Kissers;The Teenage Kissers
96;http://dbpedia.org/resource/Acacia_(band);Acacia (band)
97;http://dbpedia.org/resource/Belly_(band);Belly (band)
98;http://dbpedia.org/resource/Hurricane_(band);Hurricane (band)
99;http://dbpedia.org/resource/The_Ranch_(band);The Ranch (band)
100;http://dbpedia.org/resource/Artists_United_Against_Apartheid;Artists United Against Apartheid
101;http://dbpedia.org/resource/The_Grates;The Grates
102;http://dbpedia.org/resource/Foolish_Things;Foolish Things
103;http://dbpedia.org/resource/Von_Hemmling;Von Hemmling
104;http://dbpedia.org/resource/Late_of_the_Pier;Late of the Pier
105;http://dbpedia.org/resource/Landscape_(band);Landscape (band)
106;http://dbpedia.org/resource/Slapp_Happy;Slapp Happy
107;http://dbpedia.org/resource/Voxtrot;Voxtrot
108;http://dbpedia.org/resource/Faith_Global;Faith Global
109;http://dbpedia.org/resource/The_June_Brides;The June Brides
110;http://dbpedia.org/resource/April_Boys;April Boys
111;http://dbpedia.org/resource/Pyx_Lax;Pyx Lax
112;http://dbpedia.org/resource/Easy_Action_(band);Easy Action (band)
113;http://dbpedia.org/resource/Sétima_Legião;Sétima Legião
114;http://dbpedia.org/resource/Hatcham_Social;Hatcham Social
115;http://dbpedia.org/resource/Honey_Cone;Honey Cone
116;http://dbpedia.org/resource/BeauSoleil;BeauSoleil
117;http://dbpedia.org/resource/Shy_(band);Shy (band)
118;http://dbpedia.org/resource/Parenthetical_Girls;Parenthetical Girls
119;http://dbpedia.org/resource/Ambulance_LTD;Ambulance LTD
120;http://dbpedia.org/resource/Amoyamo;Amoyamo
121;http://dbpedia.org/resource/Apologies,_I_Have_None;Apologies, I Have None
122;http://dbpedia.org/resource/Gray_Matter_(band);Gray Matter (band)
123;http://dbpedia.org/resource/Cadaver_(band);Cadaver (band)
124;http://dbpedia.org/resource/3rd_Strike;3rd Strike
125;http://dbpedia.org/resource/Faker_(band);Faker (band)
126;http://dbpedia.org/resource/Soul_for_Real;Soul for Real
127;http://dbpedia.org/resource/Flashy_Python;Flashy Python
128;http://dbpedia.org/resource/Tantrum_(American_band);Tantrum (American band)
