momento;1-0005;5-0005;1-_006;5-_006;1-_007;5-_007;1-_008;5-_008;1-_010;5-_010;1-_011;5-_011;1-_016;5-_016;1-_018;5-_018;1-_019;5-_019;1-_021;5-_021;1-_035;5-_035;1-_038;5-_038;1-_039;5-_039;1-_041;5-_041;1-_043;5-_043;1-_045;5-_045;1-_047;5-_047;1-_050;5-_050;1-_064;5-_064;1-_065;5-_065;1-_066;5-_066;1-_067;5-_067;1-_071;5-_071;1-_076;5-_076;1-_078;5-_078;1-_079;5-_079;1-_083;5-_083;1-_084;5-_084;1-_089;5-_089;1-_092;5-_092;1-_095;5-_095;1-_096;5-_096;1-_097;5-_097;1-_098;5-_098;1-_099;5-_099;1-0112;5-0112;1-0116;5-0116;1-0109;5-0109
172;-487.79;-462.71;-487.46;-460.37;-422.96;-387.48;-454.12;-395.28;-351.28;-363.27;-422.62;-389.06;-447.41;-328.47;-377.19;-346.75;-404.02;-366.7;-467.1;-457.45;-477.24;-435.92;-475.11;-452.86;-486.08;-471.59;-448.62;-457.32;-467.14;-466.17;-464.93;-476.14;-472.52;-469.43;-463.22;-460.58;-458.29;-460.29;-431.39;-404.37;-384.49;-410.67;-466.3;-444.89;-460.3;-468.92;-366.09;-372.29;-407.31;-502.47;-444.28;-372.37;-479.32;-491.08;-502.27;-471.18;-491.13;-464.04;-467.97;-444.64;-329.26;-487.62;-481.78;-423.53;-467.51;-338.11;-468.81;-457.53;-496.34;-496.05;-477.57;-427.95;-484.74;-460.95;-487.08;-453.99
173;-487.16;-461.71;-486.33;-458.78;-420.62;-384.6;-452;-392.65;-348.74;-359.14;-420.45;-386.27;-444.44;-324.8;-373.85;-343.41;-401.81;-363.48;-466.43;-456.2;-476.94;-434.58;-474.06;-451.9;-485.95;-470.43;-447.86;-456.11;-467.14;-465.25;-464.14;-474.1;-471.98;-468.3;-463.09;-460.37;-456.75;-458.74;-431.05;-404.21;-382.62;-408.59;-465.14;-442.89;-458.96;-467.3;-363.05;-367.91;-405.85;-501.55;-442.77;-371.66;-479.66;-490.96;-502.52;-470.8;-490.75;-463.29;-467.14;-443.43;-327.71;-486.78;-481.49;-421.44;-467.18;-335.44;-468.06;-456.32;-496.34;-495.38;-476.82;-426.16;-483.49;-459.12;-486.79;-452.82
174;-486.21;-460.04;-484.45;-456.24;-417.45;-380.8;-450.58;-390.81;-346.74;-356.31;-417.33;-382.51;-442.4;-322.55;-371.39;-340.99;-400.18;-361.19;-465.55;-454.36;-476.73;-433.58;-472.31;-450.27;-485.79;-469.59;-446.78;-453.9;-466.97;-464.29;-463.68;-472.43;-470.94;-467.05;-462.8;-459.33;-454.54;-456.41;-430.51;-403.33;-381.45;-406.84;-464.14;-441.47;-457.13;-464.79;-360.67;-364.73;-404.56;-500.72;-441.94;-371.24;-480.07;-490.91;-502.77;-470.09;-490.13;-461.91;-465.85;-441.51;-326.38;-486.07;-481.41;-419.69;-466.47;-331.06;-467.06;-454.53;-496.43;-494.38;-476.03;-424.65;-481.45;-456.62;-486.16;-451.36
175;-485.37;-458.74;-483.16;-454.4;-415.2;-378.17;-448.49;-388.44;-344.02;-352.55;-415.16;-379.8;-439.52;-319.5;-368.1;-337.49;-397.97;-357.68;-464.76;-452.9;-476.11;-432.25;-471.14;-449.35;-485.33;-468.38;-446.03;-452.44;-466.81;-463.67;-462.88;-470.26;-470.1;-465.96;-462.13;-458.12;-452.95;-454.7;-429.93;-402.5;-379.61;-404.71;-462.72;-439.42;-455.71;-463;-357.46;-360.06;-403.02;-499.59;-440.4;-370.28;-480.28;-490.71;-502.93;-469.84;-489.67;-460.87;-464.97;-440.18;-324.29;-484.82;-480.91;-417.52;-465.97;-327.85;-466.18;-453.19;-496.18;-493.63;-474.82;-422.82;-480.03;-454.7;-485.5;-450.27
176;-484.16;-456.82;-481.24;-451.61;-411.99;-374.62;-447.03;-386.72;-341.98;-349.92;-412.07;-376.21;-437.39;-317.58;-365.68;-334.9;-396.47;-355.47;-463.47;-450.98;-475.61;-431.04;-469.35;-447.85;-485.12;-467.59;-444.78;-450.02;-466.47;-462.54;-462.3;-468.55;-468.97;-464.46;-461.76;-456.78;-450.53;-452.4;-429.22;-401.24;-378.32;-403.08;-461.72;-437.84;-453.71;-460.25;-355.04;-356.93;-401.68;-498.76;-439.4;-368.91;-480.53;-490.33;-503.14;-469.38;-488.83;-459.45;-463.43;-438.13;-322.75;-484.07;-480.74;-416.02;-464.97;-322.93;-464.93;-451.32;-495.51;-492.54;-473.81;-421.4;-478.07;-451.98;-484.7;-448.81
177;-483.16;-455.36;-479.82;-449.65;-409.9;-372.25;-445.11;-384.64;-338.98;-346.42;-409.94;-373.71;-434.51;-314.96;-362.51;-332.11;-394.51;-352.68;-462.55;-449.52;-474.82;-429.45;-467.89;-446.77;-484.62;-466.09;-443.86;-448.56;-466.14;-461.75;-461.38;-466.09;-468.06;-463.25;-461.51;-455.57;-448.57;-450.77;-428.55;-399.95;-376.36;-400.66;-460.13;-435.54;-452.04;-458.24;-351.53;-352.05;-399.89;-497.46;-437.85;-366.49;-480.74;-489.58;-503.23;-469.05;-488.25;-458.28;-462.3;-436.8;-320.7;-482.86;-480.28;-413.8;-464.22;-319.75;-464.01;-449.98;-495.13;-491.58;-472.35;-419.23;-476.57;-450.15;-483.99;-447.52
178;-481.82;-453.11;-477.9;-446.68;-406.98;-368.87;-443.78;-383.05;-337.06;-343.83;-407.02;-370.37;-432.51;-313.25;-360.21;-330.06;-393.13;-350.97;-461.38;-447.69;-473.9;-428.24;-465.8;-444.77;-484.33;-465.21;-442.15;-446.39;-465.43;-460.16;-460.63;-464.33;-466.56;-461.25;-460.76;-454.36;-446.03;-448.69;-427.51;-398.07;-374.94;-398.62;-458.92;-434.04;-449.78;-455.32;-349.07;-348.42;-398.64;-496.42;-436.73;-364.78;-480.99;-489.08;-503.39;-468.55;-487.42;-456.99;-460.71;-434.83;-319.03;-482.07;-479.78;-412.22;-462.97;-315.08;-462.72;-447.94;-494.72;-490.12;-471.23;-417.68;-474.32;-447.14;-483.12;-445.89
179;-480.7;-451.48;-476.57;-444.6;-404.89;-366.45;-441.9;-381.01;-334.22;-340.37;-404.89;-368.11;-429.8;-311.37;-357.08;-327.06;-391.17;-348.5;-460.46;-446.27;-472.85;-426.49;-464.26;-443.35;-483.79;-463.75;-441.06;-444.93;-464.72;-458.95;-459.5;-461.75;-465.39;-459.79;-460.26;-453.4;-444.19;-447.06;-426.63;-396.7;-372.73;-396.32;-457.21;-431.58;-448.03;-453.15;-345.48;-343.54;-397.01;-495;-435.02;-363.07;-481.07;-487.41;-503.39;-468.17;-486.75;-455.91;-459.63;-433.25;-316.61;-480.9;-479.11;-410.34;-461.97;-312.29;-461.72;-446.35;-494.22;-489.12;-469.73;-415.47;-473.06;-445.6;-482.24;-444.51
180;-479.03;-449.02;-474.65;-441.51;-401.89;-363.15;-440.65;-379.59;-332.26;-337.86;-402.14;-365.07;-427.63;-310.53;-354.79;-324.64;-389.92;-346.92;-459.25;-444.22;-472.02;-425.28;-461.97;-441.47;-483.37;-462.62;-439.27;-442.64;-463.59;-456.99;-458.59;-459.58;-463.68;-456.99;-459.42;-450.69;-441.9;-444.93;-425.42;-394.74;-370.98;-394.36;-456.04;-429.95;-445.36;-450.15;-343.06;-339.95;-395.72;-493.79;-433.93;-361.44;-481.16;-487.12;-503.52;-467.59;-485.83;-454.57;-458;-431.08;-314.74;-480.19;-478.53;-408.63;-460.71;-307.61;-460.26;-443.97;-493.17;-487.41;-468.47;-413.85;-470.81;-443.18;-481.12;-442.85
181;-477.61;-447.31;-473.27;-439.47;-399.85;-360.69;-438.73;-377.59;-329.34;-334.4;-400.22;-363.07;-424.84;-308.61;-351.74;-321.88;-388.12;-344.41;-458.29;-442.68;-470.64;-423.36;-460.42;-439.88;-482.66;-460.95;-437.94;-440.8;-462.55;-455.57;-457.38;-456.41;-461.38;-455.03;-458.8;-450.31;-440.1;-443.39;-424.46;-393.15;-368.76;-391.61;-454.25;-427.37;-443.57;-447.89;-339.44;-335.03;-393.84;-492.29;-432.01;-360.27;-481.32;-486.2;-503.44;-467.09;-484.95;-453.4;-456.63;-429.33;-312.36;-478.86;-477.61;-406.13;-459.46;-304.65;-459;-442.3;-492.3;-486.03;-466.56;-411.3;-469.31;-441.51;-480.11;-441.51
