momento;1-0005;5-0005;1-_006;5-_006;1-_007;5-_007;1-_008;5-_008;1-_010;5-_010;1-_011;5-_011;1-_016;5-_016;1-_018;5-_018;1-_019;5-_019;1-_021;5-_021;1-_035;5-_035;1-_038;5-_038;1-_039;5-_039;1-_041;5-_041;1-_043;5-_043;1-_045;5-_045;1-_047;5-_047;1-_050;5-_050;1-_064;5-_064;1-_065;5-_065;1-_066;5-_066;1-_067;5-_067;1-_071;5-_071;1-_076;5-_076;1-_078;5-_078;1-_079;5-_079;1-_083;5-_083;1-_084;5-_084;1-_089;5-_089;1-_092;5-_092;1-_095;5-_095;1-_096;5-_096;1-_097;5-_097;1-_098;5-_098;1-_099;5-_099;1-0112;5-0112;1-0116;5-0116;1-0109;5-0109
1;-588.88;-580.21;-590.5;-582.25;-593.51;-585.46;-595.51;-587.47;-575.36;-566.77;-574.28;-565.35;-579.2;-570.57;-549.33;-540.98;-577.03;-568.44;-580.78;-572.07;-592.05;-582.5;-585.62;-576.66;-584.08;-575.37;-587.63;-578.87;-584.12;-575.28;-594.84;-586.26;-584.37;-575.74;-585.21;-576.83;-582.41;-573.78;-583.29;-575.53;-585.96;-578.62;-588.54;-580.5;-589.17;-581.13;-588.08;-579.71;-588;-580.08;-580.83;-573.16;-595.55;-588.22;-594.76;-586.59;-584.91;-576.7;-584.96;-577.24;-590.25;-583.17;-576.19;-566.1;-588.13;-581.29;-588.17;-581.42;-594.26;-586.26;-589.46;-581.75;-592.92;-586.26;-593.93;-586.3
2;-588.38;-579.71;-590.8;-582.46;-593.8;-585.67;-595.55;-587.59;-574.11;-565.39;-573.23;-563.22;-579.07;-570.36;-549.29;-541.24;-573.82;-563.93;-580.62;-571.86;-591.88;-582.42;-585.96;-577.24;-584.12;-575.45;-587.58;-578.91;-584.08;-575.37;-594.88;-586.34;-584.46;-575.91;-585.08;-576.91;-582.49;-574.32;-583.25;-575.62;-585.62;-578.29;-588.67;-580.62;-589.09;-581.08;-588.21;-580;-588.04;-579.92;-580.91;-573.2;-595.89;-588.51;-594.26;-586.17;-584.71;-576.58;-584.62;-576.7;-590.67;-583.5;-576.28;-566.15;-587.96;-581;-588.34;-581.63;-594.51;-586.26;-589.29;-581.58;-592.8;-586.26;-594.13;-586.51
3;-584.41;-575.74;-585.83;-577.66;-591.38;-583.21;-589.84;-578.04;-563.34;-554.84;-568.27;-555.76;-569.31;-563.39;-549.04;-540.86;-559.05;-547.66;-578.61;-568.86;-590.59;-580.83;-583.37;-572.91;-583.54;-574.49;-586.96;-578.29;-583.5;-574.87;-594.38;-585.84;-584.25;-575.7;-584.62;-576.41;-582.2;-574.03;-583.33;-575.58;-583.7;-576.2;-583.25;-573.74;-588.79;-580.75;-588.08;-579.87;-587.67;-579.29;-580.45;-572.65;-594.01;-586.22;-593.26;-585.09;-584;-575.74;-583.58;-575.62;-590.3;-582.79;-575.78;-564.89;-587.08;-579.79;-588.17;-581.33;-592.88;-584.34;-588.5;-580.62;-590.21;-583.75;-593.68;-585.84
4;-573.73;-565.27;-570.31;-562.81;-578.91;-571.24;-578.61;-565.9;-555;-546.33;-557.46;-543.61;-559.09;-553.21;-548.2;-540.11;-550.16;-540.32;-572.82;-561.97;-587.63;-576.79;-570.35;-557.8;-580.24;-570.36;-584.33;-575.03;-578.03;-568.4;-593.3;-584.42;-580.95;-572.32;-581.37;-572.99;-571.31;-562.56;-578.99;-570.28;-580.74;-573.03;-573.36;-564.23;-587.04;-579;-587.33;-579;-585;-574.7;-579.03;-570.86;-585.37;-575.74;-584;-576.03;-581.74;-573.11;-580.87;-572.65;-587.21;-579.37;-573.9;-561.47;-584.12;-576.29;-584.79;-576.87;-580.62;-568.15;-586.96;-578.75;-578.66;-571.19;-590.88;-582.63
5;-567.27;-558.55;-562.26;-554.55;-570.69;-562.93;-567.18;-557.51;-545.99;-537.52;-550.16;-536.94;-548.7;-541.94;-545.49;-537.98;-543.15;-534.77;-567.93;-557.47;-581.95;-569.78;-563.18;-551.46;-572.9;-562.47;-581.79;-572.36;-572.44;-562.89;-589.5;-579.96;-576.32;-567.56;-577.78;-569.44;-560.34;-551.96;-572.82;-564.27;-576.24;-568.65;-563.85;-555.76;-584.71;-576.49;-584.25;-575.91;-576.7;-564.48;-575.44;-567.02;-573.48;-564.73;-576.15;-567.94;-579.62;-571.07;-578.61;-570.32;-580.24;-571.82;-568.52;-554.3;-580.95;-572.99;-579.11;-570.99;-572.11;-560.43;-583.45;-574.91;-571.06;-563.56;-587.38;-578.71
6;-561.01;-552.21;-556.71;-548.7;-563.76;-555.71;-563.09;-554.88;-542.69;-534.27;-543.19;-531.47;-545.32;-537.61;-543.82;-536.94;-541.23;-533.31;-562.43;-552.04;-577.95;-565.48;-557.3;-547.12;-568.02;-557.93;-578.28;-568.44;-566.02;-556.51;-586.58;-576.66;-569.94;-561.18;-572.86;-564.35;-551.33;-542.74;-565.47;-556.8;-573.02;-565.35;-560.22;-552.63;-581.16;-572.91;-581.53;-573.28;-569.69;-558.05;-572.4;-563.89;-568.56;-560.26;-569.06;-560.68;-576.86;-568.19;-575.49;-567.06;-574.32;-566.23;-563.51;-547.91;-576.57;-568.52;-572.02;-563.56;-564.43;-554.59;-580.62;-571.9;-563.97;-556.84;-582.58;-573.66
7;-557.84;-549.08;-555.08;-547.04;-561.18;-553;-558.26;-553.34;-539.31;-531.39;-540.02;-529.22;-542.9;-534.73;-542.36;-536.1;-539.69;-532.39;-559.17;-549.29;-573.02;-560.55;-555.46;-545.78;-562.47;-552.58;-576.03;-566.27;-562.59;-553.29;-582.66;-572.61;-565.72;-556.8;-569.35;-560.97;-548.08;-539.44;-561.05;-552.71;-569.19;-561.64;-557.8;-550.71;-578.78;-570.61;-578.11;-569.65;-562.3;-551.46;-568.1;-559.8;-565.43;-557.63;-566.14;-557.72;-574.86;-566.06;-573.4;-564.98;-567.89;-559.72;-556.13;-539.27;-573.48;-565.44;-567.43;-559.51;-562.01;-552.96;-576.78;-568.27;-561.43;-554.46;-579.37;-570.15
8;-554.54;-545.66;-553.83;-545.62;-559.01;-550.37;-556.04;-552.33;-537.6;-529.76;-537.44;-527.13;-541.78;-533.39;-541.36;-535.48;-540.27;-532.97;-555.75;-546.24;-570.35;-557.8;-554.17;-545.07;-559.63;-550.12;-573.07;-563.39;-559.09;-549.75;-580.16;-570.23;-560.93;-552.38;-565.43;-557.05;-546.16;-537.35;-557;-548.87;-566.56;-559.01;-557.17;-550.04;-575.86;-567.65;-575.65;-567.23;-558.21;-548.29;-565.43;-557.3;-564.35;-556.84;-564.05;-555.51;-572.23;-563.48;-570.85;-562.47;-563.93;-556.13;-551.2;-533.35;-569.73;-561.76;-563.09;-555.55;-560.42;-552.04;-574.32;-565.98;-559.51;-552.63;-575.61;-566.48
9;-553.17;-544.24;-553.71;-545.45;-558.05;-549.41;-554.29;-552.71;-537.81;-529.64;-536.73;-526.97;-541.32;-532.35;-540.15;-534.52;-543.32;-536.4;-553.92;-544.62;-567.02;-554.63;-554.54;-545.66;-556.75;-547.33;-571.31;-561.72;-557.34;-547.87;-577.24;-567.44;-558.34;-549.54;-563.01;-554.71;-545.91;-536.85;-555.08;-547.04;-563.76;-556.42;-559.21;-551.12;-573.98;-565.77;-572.94;-564.52;-554.58;-545.37;-561.76;-553.84;-563.89;-556.42;-563.09;-554.63;-570.44;-561.68;-569.1;-560.64;-560.13;-552.46;-544.82;-526.51;-567.1;-559.26;-560.72;-553.29;-560.17;-551.79;-571.31;-563.14;-558.96;-552.04;-573.11;-563.98
10;-553.08;-543.91;-555.75;-546.99;-558.46;-549.5;-554.46;-554.25;-538.44;-530.18;-537.27;-528.18;-542.32;-533.02;-539.4;-534.02;-545.91;-539.32;-552.83;-543.82;-565.26;-552.84;-557.3;-548.04;-555.46;-546.24;-569.19;-559.72;-556.17;-546.62;-575.49;-565.77;-555.75;-547.12;-560.26;-551.83;-548.2;-538.27;-554.71;-546.91;-562.39;-555;-560.55;-552.17;-571.73;-563.56;-571.15;-562.72;-553.25;-544.53;-559.51;-551.75;-564.47;-557.01;-563.64;-555;-568.35;-559.55;-566.85;-558.34;-558.42;-551.04;-540.82;-522.5;-564.14;-556.26;-558.76;-551.63;-561.18;-552.46;-569.39;-561.39;-559.97;-552.54;-570.52;-561.1
11;-553.37;-544.24;-557.84;-548.91;-559.17;-550.04;-555.17;-557.63;-539.81;-531.47;-538.15;-529.22;-544.86;-535.31;-537.85;-532.85;-548.16;-541.78;-552.41;-543.61;-563.76;-551.46;-559.17;-550.29;-554.71;-545.53;-567.89;-558.68;-555.96;-546.03;-573.27;-563.68;-555;-546.33;-558.76;-550.46;-550.12;-539.98;-555.04;-547.37;-560.67;-553.42;-562.43;-554.42;-570.44;-562.39;-569.1;-560.76;-553.12;-545.45;-556.42;-548.83;-566.02;-558.43;-564.97;-556.13;-566.97;-558.26;-565.26;-556.67;-557.42;-550.04;-536.35;-517.62;-561.97;-554.3;-558.05;-550.92;-562.51;-554.05;-567.1;-559.05;-561.3;-553.92;-568.85;-559.14
12;-553.75;-544.53;-560.09;-551.04;-560.76;-551.29;-555.59;-559.59;-540.19;-531.97;-539.02;-530.09;-546.11;-536.9;-536.89;-532.14;-548.83;-542.2;-552.29;-543.74;-563.18;-550.75;-561.26;-553;-554.5;-545.53;-566.35;-557.13;-555.96;-546.16;-571.94;-562.6;-554.96;-546.24;-557.67;-549.41;-552.37;-542.57;-555.33;-547.7;-559.42;-552.25;-564.1;-556.84;-569.02;-560.93;-567.93;-559.43;-554.04;-546.66;-554.46;-546.95;-567.73;-560.6;-567.18;-558.43;-565.1;-556.34;-562.76;-554.25;-557.34;-550.21;-533.56;-514.66;-559.38;-551.67;-557.3;-550.12;-565.26;-557.8;-565.6;-557.68;-563.97;-557.01;-566.89;-556.92
13;-553.92;-544.74;-561.01;-552.21;-561.68;-552.25;-555.42;-560.51;-540.48;-532.26;-539.52;-530.43;-546.74;-538.02;-535.68;-531.26;-548.58;-541.94;-552.41;-544.11;-562.51;-550.29;-561.97;-553.92;-555;-546.24;-565.39;-556.47;-556.21;-546.66;-570.44;-561.35;-555.29;-546.62;-557.17;-549;-553.25;-543.49;-555.59;-548.04;-557.88;-550.71;-565.39;-558.55;-568.18;-559.89;-566.52;-558.05;-555.04;-547.74;-551.41;-544.36;-570.02;-562.97;-568.56;-559.85;-563.76;-555;-560.84;-552.08;-557.38;-550.46;-530.09;-510.65;-557.21;-549.62;-556.63;-549.62;-566.77;-559.39;-563.51;-555.55;-565.26;-558.47;-565.26;-554.96
14;-553.92;-544.7;-561.43;-552.92;-562.84;-553.38;-555.25;-560.51;-540.19;-532.14;-539.9;-530.72;-546.57;-538.27;-534.56;-530.3;-548.12;-541.61;-552.54;-544.03;-562.26;-550.08;-562.39;-554.09;-555.5;-546.91;-564.14;-555.42;-556.67;-546.7;-569.6;-560.72;-555.67;-547.08;-556.54;-548.41;-553.33;-543.7;-556.17;-548.7;-556.79;-549.79;-565.51;-558.63;-566.72;-558.55;-565.47;-557.05;-555.21;-547.66;-549.24;-542.2;-570.9;-563.77;-569.52;-560.76;-562.09;-553.17;-557.92;-549;-557.21;-550.12;-527.59;-507.44;-554.29;-546.49;-556.21;-549.37;-567.68;-560.1;-561.72;-553.88;-565.89;-558.97;-562.97;-551.96
15;-553.54;-544.36;-561.38;-552.96;-563.22;-553.88;-555;-559.97;-539.56;-531.64;-539.73;-530.22;-545.7;-537.94;-533.39;-529.76;-546.74;-540.19;-551.91;-543.24;-561.84;-549.62;-561.59;-553.09;-556.13;-547.41;-563.14;-554.5;-556.67;-546.49;-568.31;-559.72;-555.84;-547.04;-556;-547.91;-553.12;-543.07;-556.21;-548.75;-555.46;-548.62;-564.97;-558.22;-565.6;-557.59;-564.18;-555.76;-554.67;-546.78;-545.91;-539.19;-571.1;-563.73;-569.56;-560.89;-560.72;-551.88;-555.63;-546.66;-556.5;-549.46;-524.25;-502.97;-552;-544.16;-555.88;-548.95;-567.64;-560.01;-559.01;-551.17;-565.81;-558.76;-560.93;-549.62
16;-552.66;-543.53;-560.63;-552.42;-563.09;-553.88;-554.83;-559.55;-538.81;-530.85;-539.19;-529.64;-545.07;-537.48;-532.81;-529.68;-545.11;-538.98;-551;-542.36;-561.59;-549;-559.47;-551.33;-556.25;-547.45;-561.63;-553.04;-555.67;-545.28;-567.39;-558.8;-555.42;-546.74;-555.08;-547.04;-552.46;-542.2;-555.96;-548.45;-554.54;-547.58;-564.6;-557.76;-564.01;-555.96;-563.01;-554.55;-553.92;-545.99;-543.61;-537.1;-570.85;-563.48;-569.39;-560.55;-558.96;-549.91;-552.41;-543.28;-555.75;-548.62;-521.92;-499.05;-548.95;-541.24;-555.33;-548.58;-567.35;-559.55;-556.92;-549.12;-565.31;-558.18;-557.96;-546.28
17;-552.04;-542.86;-559.59;-551.79;-562.72;-553.42;-554.29;-558.55;-537.69;-529.84;-538.69;-529.13;-543.82;-536.65;-531.47;-528.84;-543.32;-537.61;-550.24;-541.65;-560.76;-547.54;-558.55;-550.62;-555.84;-546.83;-560.42;-552.13;-554.88;-544.49;-566.02;-557.38;-554.58;-545.83;-554.17;-546.2;-551.83;-541.53;-555.92;-548.41;-552.91;-546.2;-564.68;-557.59;-562.93;-554.67;-561.43;-553;-552.79;-544.62;-540.11;-534.18;-570.27;-562.81;-569.1;-560.3;-557.55;-548.58;-550.2;-540.94;-554.25;-547.24;-518.12;-494.42;-546.74;-538.98;-554.83;-548.08;-566.43;-558.93;-554;-546.37;-564.93;-557.8;-555.92;-543.78
18;-551.58;-542.28;-558.42;-550.62;-561.84;-552.88;-554.46;-557.76;-537.23;-529.26;-538.48;-528.97;-542.78;-535.69;-530.39;-527.84;-542.11;-536.85;-549.29;-540.48;-559.76;-546.2;-557.5;-549.83;-555.25;-546.16;-558.76;-550.29;-553.58;-542.7;-564.76;-556.3;-553.21;-544.49;-552.46;-544.45;-551.04;-540.53;-555.67;-548.16;-551.75;-545.12;-564.3;-557.22;-560.93;-552.71;-560.13;-551.75;-551.79;-543.7;-538.15;-532.18;-569.6;-562.1;-567.68;-558.93;-555.46;-546.12;-547.16;-537.86;-553.04;-546.16;-515.66;-491.08;-543.99;-536.31;-554;-547.29;-565.26;-558.05;-551.91;-544.32;-564.26;-556.97;-553.5;-541.11
19;-551.91;-542.4;-557.67;-549.87;-561.34;-552.29;-555.84;-556.67;-537.27;-529.09;-538.61;-529.09;-541.23;-534.52;-529.05;-526.8;-541.73;-536.56;-548.66;-539.98;-558.3;-544.16;-557.42;-549.66;-554.12;-545.03;-557.34;-548.87;-552.71;-541.65;-562.8;-554.3;-552.04;-543.2;-551.08;-542.99;-550.41;-539.77;-555;-547.58;-550.16;-543.53;-563.39;-556.38;-559.51;-551.17;-558.17;-549.75;-550.33;-542.36;-535.23;-530.01;-568.52;-560.97;-566.52;-557.63;-553.58;-544.16;-544.95;-535.64;-551.75;-544.82;-512.53;-487.12;-542.03;-534.52;-553.29;-546.53;-564.64;-557.51;-549.37;-542.07;-563.47;-556.42;-551.87;-539.19
20;-552.33;-542.95;-557.21;-549.29;-561.01;-551.96;-556.79;-556.13;-537.31;-529.22;-538.9;-529.47;-540.69;-533.89;-527.92;-526.01;-541.73;-536.4;-548.24;-539.65;-557.25;-542.7;-558.09;-549.37;-553.46;-544.11;-555.38;-547.16;-551.91;-540.61;-561.59;-553.04;-550.54;-541.69;-549.41;-541.24;-549.58;-538.73;-553.92;-546.33;-549.2;-542.49;-562.64;-555.76;-557.5;-549.12;-556.67;-548.2;-549.16;-541.32;-533.43;-528.34;-567.77;-560.14;-565.1;-556.09;-551.12;-541.49;-542.32;-532.81;-550.75;-544.03;-510.65;-484.95;-539.86;-532.18;-552.33;-545.62;-564.1;-556.92;-547.66;-540.4;-562.59;-555.34;-549.99;-537.02
21;-552.58;-542.99;-557.59;-549.5;-561.13;-552;-558.26;-555.88;-537.1;-529.09;-538.98;-529.64;-540.32;-533.35;-526.21;-524.5;-541.28;-535.85;-547.99;-539.32;-556.09;-541.07;-558.38;-548.95;-552.83;-543.57;-554.17;-545.99;-551.5;-540.15;-559.92;-551.21;-549.95;-541.15;-548.49;-540.4;-548.99;-538.06;-553.04;-545.7;-547.66;-541.11;-562.34;-555.21;-556.13;-547.83;-554.75;-546.28;-547.62;-539.82;-531.3;-526.63;-567.1;-559.51;-564.51;-555.3;-549.45;-539.69;-540.65;-531.1;-549.99;-543.45;-508.61;-482.53;-538.4;-530.93;-551.62;-545.03;-564.01;-556.63;-545.61;-538.4;-561.97;-554.75;-548.95;-535.89
22;-552.58;-543.07;-558.26;-549.71;-561.59;-552.17;-559.34;-555.88;-536.77;-528.88;-539.02;-529.59;-540.02;-533.02;-525;-523.75;-540.61;-535.52;-547.41;-538.69;-555.63;-540.44;-558.05;-548.45;-552.54;-543.24;-552.37;-544.16;-550.83;-539.61;-558.76;-550.16;-549.29;-540.53;-547.49;-539.48;-548.91;-537.44;-552.5;-544.95;-546.57;-540.03;-562.39;-555.05;-554.33;-546.03;-553.33;-544.87;-546.87;-539.19;-530.05;-525.75;-566.93;-559.18;-564.76;-555.34;-547.24;-537.73;-538.56;-528.88;-549.74;-543.45;-507.69;-480.65;-537.06;-529.68;-551.25;-544.45;-564.01;-555.3;-544.53;-537.44;-561.93;-554.25;-547.99;-534.48
23;-552.46;-542.99;-558.51;-549.79;-561.68;-552.25;-560.47;-555.88;-535.85;-528.3;-538.94;-529.39;-538.98;-532.35;-523.29;-522.46;-539.56;-534.81;-546.87;-538.02;-555.13;-539.69;-557.92;-548.29;-552.12;-542.78;-551.08;-542.99;-550.37;-539.36;-557.21;-548.66;-548.91;-540.11;-546.91;-538.82;-548.99;-537.35;-551.96;-544.32;-545.24;-538.82;-561.59;-554.17;-553.21;-544.95;-551.58;-543.11;-546.41;-538.98;-528.55;-524.5;-566.56;-558.72;-565.26;-555.59;-545.95;-536.6;-537.23;-527.17;-549.49;-543.2;-506.65;-478.52;-536.27;-528.97;-550.95;-544.11;-563.97;-554.84;-543.19;-536.14;-562.34;-554.21;-547.41;-533.52
24;-552.04;-542.57;-558.26;-549.91;-561.55;-552.13;-560.84;-555.67;-535.06;-527.76;-538.44;-528.84;-538.23;-531.81;-522.17;-521.58;-538.73;-534.31;-545.91;-536.81;-554.79;-538.94;-557.09;-547.62;-551.83;-542.53;-549.29;-541.24;-549.58;-538.77;-556.25;-547.7;-548.37;-539.52;-546.16;-538.11;-549.41;-537.48;-550.41;-542.95;-544.45;-538.02;-560.55;-552.92;-551.66;-543.36;-550.33;-541.94;-546.16;-538.9;-527.55;-523.67;-566.06;-558.26;-565.51;-555.84;-544.28;-534.98;-535.31;-525.13;-549.24;-543.11;-506.02;-477.56;-535.23;-528.01;-550.66;-543.66;-563.68;-554.55;-542.23;-535.31;-562.8;-554.38;-546.66;-532.14
25;-551.66;-542.2;-557.88;-549.71;-561.38;-552;-560.84;-555.09;-533.39;-526.76;-538.02;-528.34;-536.64;-530.8;-520.96;-520.96;-537.48;-533.64;-544.86;-535.89;-554.29;-537.94;-556.04;-546.62;-551.37;-542.03;-547.99;-540.07;-548.91;-538.27;-554.83;-546.53;-547.95;-539.19;-545.78;-537.81;-549.41;-537.23;-549.54;-542.07;-543.53;-537.27;-560.09;-552.08;-550.66;-542.36;-548.62;-540.07;-545.66;-538.52;-526.09;-522.67;-565.26;-557.51;-565.35;-555.67;-543.07;-533.56;-534.1;-523.75;-548.66;-542.7;-505.52;-478.4;-534.6;-527.34;-550.24;-543.41;-563.47;-554.38;-541.28;-534.27;-562.68;-554.3;-546.11;-531.26
26;-551.33;-541.82;-557.17;-549.21;-560.72;-551.25;-560.59;-554.55;-532.39;-525.96;-537.56;-527.92;-535.52;-530.01;-520.25;-520.46;-536.81;-533.97;-543.69;-534.77;-553.87;-537.31;-554.5;-545.66;-550.91;-541.61;-546.07;-538.15;-547.87;-537.4;-553.87;-545.66;-547.16;-538.44;-545.24;-537.35;-548.99;-537.02;-548.74;-541.4;-542.82;-536.65;-559.8;-551.96;-549.33;-541.11;-547.12;-538.61;-545.53;-538.56;-525.25;-521.79;-564.93;-557.26;-564.85;-555.09;-541.48;-531.97;-532.22;-521.75;-548.08;-542.32;-505.48;-477.85;-533.72;-526.42;-549.91;-542.74;-563.26;-554.17;-540.23;-533.47;-562.55;-553.92;-545.2;-530.09
27;-551.33;-541.69;-556.59;-548.79;-560.05;-550.75;-559.92;-553.79;-531.3;-525;-537.44;-527.67;-533.89;-528.88;-518.96;-519.5;-536.6;-534.89;-543.07;-534.23;-553.21;-536.14;-554.38;-545.87;-550.2;-540.94;-544.65;-536.94;-547.16;-536.98;-552.66;-544.57;-546.32;-537.52;-544.7;-536.81;-548.58;-536.94;-548.16;-540.9;-541.65;-535.73;-559.21;-551.5;-548.58;-540.28;-545.32;-536.69;-545.57;-538.94;-523.96;-520.71;-564.68;-556.72;-564.51;-554.63;-540.32;-530.89;-531.1;-520.54;-547.28;-541.61;-505.52;-477.1;-533.1;-525.75;-549.45;-542.36;-562.93;-553.96;-539.02;-532.76;-562.3;-553.67;-544.78;-529.68
28;-551.41;-541.69;-555.42;-548.08;-558.92;-549.79;-559.51;-553.88;-530.68;-524.67;-537.23;-527.55;-533.31;-528.51;-518.04;-518.54;-536.23;-535.23;-542.74;-534.23;-552.66;-535.19;-555.75;-548.41;-549.54;-540.32;-542.99;-535.52;-546.78;-536.73;-552.21;-544.41;-545.28;-536.35;-543.69;-535.98;-548.28;-537.56;-547.28;-540.03;-541.07;-535.1;-558.76;-551.08;-547.37;-539.11;-543.69;-535.19;-545.49;-539.02;-523.13;-520.12;-564.43;-556.97;-563.85;-553.84;-538.77;-529.18;-529.64;-518.83;-546.53;-541.03;-505.44;-476.06;-532.06;-524.63;-548.91;-541.99;-562.26;-553.54;-538.44;-532.6;-561.93;-553.13;-544.49;-529.3
29;-551.29;-541.44;-554.92;-547.79;-558.26;-549.16;-558.92;-554.34;-529.89;-524.34;-536.98;-527.13;-532.72;-528.38;-516.74;-517.45;-535.27;-535.23;-543.07;-534.89;-551.71;-533.52;-556.92;-549.83;-549.04;-539.57;-542.07;-535.27;-546.53;-536.44;-551.83;-544.7;-544.7;-535.94;-543.15;-535.48;-548.28;-537.98;-546.57;-539.36;-540.15;-534.48;-558.8;-551.25;-546.57;-538.31;-541.9;-533.35;-545.07;-538.65;-522.04;-519.96;-565.14;-558.18;-563.34;-553.25;-537.65;-528.05;-528.68;-517.66;-545.24;-540.03;-504.94;-473.47;-531.39;-524.04;-548.66;-541.78;-561.68;-553.92;-537.85;-532.72;-561.55;-552.92;-544.53;-529.01
30;-550.83;-541.03;-554.38;-547.58;-557.55;-548.37;-558.59;-554.5;-529.47;-524.21;-536.77;-527.01;-532.35;-528.18;-515.91;-516.66;-534.81;-535.23;-543.78;-535.64;-550.91;-532.51;-557.75;-550.75;-548.78;-539.36;-541.44;-535.56;-546.24;-536.65;-551.54;-544.62;-544.32;-535.6;-542.53;-535.14;-548.37;-538.31;-546.16;-539.4;-539.56;-534.02;-559.59;-552.67;-545.91;-537.61;-540.9;-532.51;-544.78;-538.23;-521.71;-520.46;-565.89;-559.05;-562.64;-552.58;-536.14;-526.63;-528.22;-517.08;-544.15;-539.27;-504.35;-470.64;-530.72;-523.54;-548.49;-542.15;-561.8;-555.17;-537.52;-532.81;-560.97;-552.38;-544.78;-529.01
31;-550.37;-540.61;-554.38;-547.45;-557.42;-548.08;-557.88;-554.42;-528.72;-524.04;-536.73;-527.05;-531.43;-527.59;-514.7;-515.82;-533.97;-535.06;-544.15;-535.98;-550.08;-531.47;-557.84;-550.71;-548.62;-539.27;-541.28;-535.6;-546.49;-537.15;-551.25;-544.36;-544.07;-535.23;-542.11;-534.89;-548.7;-538.4;-546.41;-539.77;-538.81;-533.31;-560.72;-554.59;-545.49;-537.23;-540.27;-532.1;-544.07;-537.65;-521.37;-520.91;-566.72;-559.89;-562.26;-551.88;-535.27;-525.88;-528.38;-517.12;-542.78;-538.23;-503.44;-466.84;-530.43;-523.38;-548.24;-542.07;-562.01;-555.84;-537.48;-532.97;-560.97;-552.54;-545.07;-528.97
32;-549.91;-539.98;-554.71;-547.74;-557.17;-547.62;-557.42;-554.09;-527.84;-523.84;-536.73;-527.05;-530.22;-526.76;-513.95;-515.11;-533.22;-535.1;-544.4;-536.35;-549.66;-531.18;-557.05;-550;-548.74;-539.52;-540.94;-535.85;-546.66;-537.69;-550.79;-544.11;-543.65;-534.77;-541.53;-534.35;-548.83;-538.31;-546.53;-540.19;-538.19;-532.89;-561.13;-555.26;-545.07;-536.94;-540.23;-531.97;-543.32;-536.98;-520.96;-520.87;-566.85;-560.01;-562.22;-551.63;-534.64;-525.34;-528.97;-517.41;-542.4;-538.15;-502.93;-466.92;-530.39;-523.5;-547.83;-541.82;-562.55;-556.59;-537.69;-533.14;-561.26;-553.25;-545.49;-528.93
33;-549.49;-539.61;-554.96;-547.83;-557;-547.49;-556.92;-553.71;-526.26;-523.17;-536.52;-526.97;-528.51;-525.67;-512.91;-514.36;-531.68;-534.39;-544.53;-536.23;-549.74;-532.01;-556.46;-549.54;-549.24;-540.32;-540.82;-536.02;-546.62;-537.77;-550.41;-543.78;-543.61;-534.81;-541.28;-534.18;-548.7;-538.02;-546.49;-540.23;-537.77;-532.81;-561.68;-555.63;-544.86;-536.73;-540.02;-531.72;-542.28;-535.89;-520.54;-520.87;-566.52;-559.72;-562.8;-552.04;-534.43;-525.17;-529.34;-517.62;-542.65;-538.82;-503.27;-483.36;-530.43;-523.33;-547.41;-541.32;-563.01;-557.05;-537.94;-533.43;-561.59;-553.63;-545.78;-528.88
34;-548.99;-538.94;-554.92;-547.95;-556.88;-547.29;-556.59;-553.13;-525.38;-522.5;-536.35;-526.71;-527.22;-524.67;-512.11;-513.57;-530.26;-533.93;-544.24;-535.85;-550.24;-532.56;-556.75;-549.75;-549.66;-540.78;-540.65;-535.89;-546.62;-537.73;-550.2;-543.53;-543.82;-534.98;-541.02;-534.02;-548.24;-537.19;-546.45;-540.36;-537.85;-533.22;-562.05;-555.71;-544.61;-536.44;-539.65;-531.55;-541.36;-535.02;-520.21;-520.62;-566.18;-559.43;-563.8;-552.88;-534.31;-525.17;-529.68;-518.04;-542.99;-539.32;-505.02;-496.3;-530.47;-523.25;-547.03;-540.78;-563.68;-557.42;-537.98;-533.6;-562.18;-554.05;-546.16;-528.84
35;-548.37;-538.4;-554.75;-547.87;-556.92;-547.33;-556;-552.67;-524;-521.79;-536.14;-526.38;-525.3;-523.33;-510.94;-512.44;-528.05;-533.06;-543.99;-535.69;-550.66;-533.14;-557.05;-549.87;-549.87;-540.98;-540.44;-535.81;-546.66;-536.35;-549.87;-543.36;-544.24;-535.39;-540.82;-534.06;-547.66;-536.65;-546.32;-540.32;-538.02;-533.85;-561.63;-555.46;-544.49;-536.48;-539.36;-531.05;-540.61;-534.6;-519.46;-520.25;-566.02;-559.01;-564.3;-553.38;-534.31;-525.05;-529.84;-517.91;-543.07;-539.73;-508.4;-505.27;-530.3;-522.92;-547.03;-540.53;-564.1;-557.55;-537.98;-533.72;-562.51;-554.25;-546.24;-528.68
